L,Date MO/DAY/YR,To,From,Sent To ,Sent From,Status,Notes,Spanish YES/NO,SCAN ID,Scans uploaded,Back up? Where?,Metadata collected,Metadata filename,Metadata uploaded,Metadata Revised,Total: ,letter ,Envelope,Env. and Letter,Jesusita
1,8/21/1919,Maximino Torres,Rafaela Arroyo viuda de Torres (Max's Mother),Knobles OK,Ecuandureo MICH,Transcribed & translated,letter Transcribed and translated Dec/19/13,YES,"shan_l.001
to
shan_l.002",Box,,Yes,shan_L001.meta.xml,Google Drive,Yes,,43,57,54,51
2,2/5/1923,Reynaldo Hurtado (Uncle of Max. T),Maximino Torres,[México] Place: ?,Rock Springs WY,Transcribed & translated,letter Transcribed and translated Dec/19/13,YES,"shan_l.009
to
shan_l.014",Box,,Yes,shan_L002.meta.xml,Google Drive,Yes,,,,,
3,12/27/1926,Maximino Torres,Clemente Torres,Rock Springs WY,Patzimaro MICH,Transcribed & translated,letter ,YES,"shan_l.003
to
shan_l.004",Box,,Yes,shan_L003.meta.xml,Google Drive,Yes,,,,,
4,6/25/1927,Maximino Torres,Clemente Torres (brother of Max),Rock Springs WY,Huapamacato MICH,Transcribed & translated,letter,YES,"shan_l.005
to
shan_l.006",Box,,Yes,shan_L004.meta.xml,Google Drive,Yes,,,,,
5,3/18/1926,Maximino Torres,Julia H. Arroyo (maternal Aunt),Rock Springs WY,Huapamacato MICH,Transcribed & translated,letter Transcribed and translated Dec/19/13,YES,"shan_l.015
to
shan_l.016",Box,,Yes,shan_L005.meta.xml,Google Drive,Yes,,,,,
6,3/18/1926,Maximino Torres,S. S. Arroyo (female cousin to Max. Torres),Rock Springs WY,Huapamacato MICH,Transcribed & translated,letter Transcribed and translated Dec/19/13,YES,"shan_l.017
to
shan_l.018",Box,,Yes,shan_L006.meta.xml,Google Drive,Yes,,,,,
7,5/28/1927,Maximino Torres,Clemente Torres (brother of Max),Rock Springs WY,Huapamacato MICH,Transcribed & translated, letter Transcribed and translated Dec/19/13,YES,"shan_l.019
to
shan_l.020",Box,,Yes,shan_L007.meta.xml,Google Drive,Yes,,,,,
8,1/1/1964,Santos Barros Schubert,Jesusita Baros Torres,Lincoln NE?,"Fort Lupton, CO",Transcribed & translated, letter Transcribed and translated,YES,shan_l.681 to shan_l.685,Box,,Yes,shan_L008.meta.xml,Google Drive,Yes,,,,,
9,10/24/1952,Clemente Torres (brother of Max),Rodolfo Torres Aviña (Max's nephew) ,Fort Lupton CO,Churintzio MICH,Transcribed & translated, Letter Transcribed and translated. Sender listed on Envelope is Victoria Aviña (Clemente's wife),YES,"shan_l.023
to
shan_l.024",Box,,Yes,shan_L009.meta.xml,Google Drive,Yes,,,,,
10,???,,Shone Villanueva,???,Albuquerque NM,Transcribed & translated,Torn letter [fragment] Transcribed and translated,YES,"shan_l.050
to
shan_l.051",Box,,Yes,shan_L010.meta.xml,Google Drive,Yes,,,,,
11,8/29/1937,Jesusita Baros,,Denver CO,Albuquerque NM,Transcribed & translated,letter,YES,"shan_l.062
to
shan_l.067",Box,,Yes,shan_L011.meta.xml,Google Drive,Yes,,,,,
12,9/4/???,Jesusita Baros,Patricia Medrano,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,letter,YES,"shan_l.056
to
shan_l.059",Box,,Yes,shan_L012.meta.xml,Google Drive,Yes,,,,,
13,???/21/1937,Jesusita Baros,???,Basin WY,,Transcribed & translated,Only Envelope C/O Philip Haitman [Hartman?],NO,"shan_l.060
to
shan_l.061",Box,,Yes,shan_L013.meta.xml,Google Drive,Yes,,,,,
14,12/2/1934,Jesusita Baros,Jesus Samaniego,Longmont CO,Juchipila ZAC,Transcribed & translated,letter C/O Bill Remedy,YES,"shan_l.052
to
shan_l.055",Box,,Yes,shan_L014.meta.xml,Google Drive,Yes,,,,,
15,7/8/1937,Jesusita Baros,Villanueva???,Denver CO,Albuquerque NM,"Transcribed, no translation ",Only Envelope ,NO,"shan_l.074
to
shan_l.075",Box,,Yes,shan_L015.meta.xml,Google Drive,Yes,,,,,
16,9/2/1937,Jesusita Baros,J Sánchez?,Denver CO,Albuquerque NM,"Transcribed, no translation",Only Envelope ,NO,"shan_l.072
to
shan_l.073",Box,,Yes,shan_L016.meta.xml,Google Drive,Yes,,,,,
17,???,Jesusita Baros,???,Longmont CO,"Santa Ana, Sonora MX","Transcribed, no translation",Only Envelope C/O Bill Kennedy,NO,"shan_l.068
to
shan_l.069",Box,,Yes,shan_L017.meta.xml,Google Drive,Yes,,,,,
