Object ID,Date,Description,Notes,scanned?,SCAN ID,Stored where?,Back up where?,Metadata collected,Metadata filename,Metadata uploaded
[M1],N/A,"Catholic rosary, purple twine, two metal crosses FRONT ",Personal rosary belonging to Jesusita Baros Torres ,yes,shan_m.001,Box,GDrive,yes,shan_M001.meta,Gdrive
[M1],N/A,"Catholic rosary, purple twine, two metal crosses BACK ",Personal rosary belonging to Jesusita Baros Torres ,yes,shan_m.002,Box,GDrive,yes,shan_M001.meta,Gdrive
 ,1942,"FRONT Black leather bound personal journal Embossed in red and gold ""S Baros""  and ""Diary"" in gold","Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.016,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,INSIDE GUARD PAGES Marbled paper,"Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.017,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,"Handwritten in blank ink ""Mrs. Ray... phone 5868 EM  ""This diary belongs to Santos Baros"" ","Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.018,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,"INSIDE PAGE Entry for 1943 ""New year Day I saw...""","Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.019,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,"INSIDE PAGE Entry for Oct/17/1942 ""Sat Jess got married...""","Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.020,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,"INSIDE PAGE Entry for 10/19 ""It was too wet for the huts...""","Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.021,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,"INSIDE BACK COVER ""Santos Baros, Albuquerque NM, April 12, 1936""","Personal journal belonging to Santos Baros dated April 12, 1936",yes,shan_m.022,Box,GDrive,yes,shan_M002.meta,Gdrive
[M2],1942,INSIDE PAGE Entry for 6/02/1936,"Personal journal belonging to Santos Baros dated April 12, 1936. The entry was previously erased.",yes,shan_m.023,Box,GDrive,yes,shan_M002.meta,Gdrive
[M3],Date in japanese?,PAPER BILL FRONT Japanese government issued Philipine fiat currency,Five pesos 0473658,yes,shan_m.003,Box,GDrive,yes,shan_M003.meta,
[M3],Date in japanese?,PAPER BILL BACK Japanese government issued Philipine fiat currency,Five pesos 0473658,yes,shan_m.004,Box,GDrive,yes,shan_M003.meta,
[M4],Date in japanese?,PAPER BILL FRONT Japanese government issued Philipine fiat currency,Ten pesos 0724703,yes,shan_m.005,Box,GDrive,yes,shan_M004.meta,
[M4],Date in japanese?,PAPER BILL BACK Japanese government issued Philipine fiat currency,Ten pesos 0724703,yes,shan_m.006,Box,GDrive,yes,shan_M004.meta,
[M5],Date in japanese?,PAPER BILL FRONT Japanese government issued Philipine fiat currency,One hundred pesos 45731,yes,shan_m.007,Box,GDrive,yes,shan_M005.meta,
[M5],Date in japanese?,PAPER BILL BACK Japanese government issued Philipine fiat currency,One hundred pesos 45731,yes,shan_m.008,Box,GDrive,yes,shan_M005.meta,
[M6],Date in japanese?,PAPER BILL FRONT Japanese government issued Philipine fiat currency,Ten centavos PR,yes,shan_m.009,Box,GDrive,yes,shan_M006.meta,
[M6],Date in japanese?,PAPER BILL BACK Japanese government issued Philipine fiat currency,Ten centavos PR,yes,shan_m.010,Box,GDrive,yes,shan_M006.meta,
[M7],Date in japanese?,PAPER BILL FRONT Japanese government issued Philipine fiat currency,Fifty centavos PI,yes,shan_m.011,Box,GDrive,yes,shan_M007.meta,
[M7],Date in japanese?,PAPER BILL BACK Japanese government issued Philipine fiat currency,Fifty centavos PI,yes,shan_m.012,Box,GDrive,yes,shan_M007.meta,
[M8],Date in japanese?,PAPER BILL FRONT Japanese government issued Philipine fiat currency,One peso 0502703,yes,shan_m.013,Box,GDrive,yes,shan_M008.meta,
[M8],Date in japanese?,PAPER BILL BACK Japanese government issued Philipine fiat currency,One peso 0502703,yes,shan_m.014,Box,GDrive,yes,shan_M008.meta,
[M9],11/9/1986,"Napkin 40th Wedding Anniversary, Bill and Sandra 1946-1986",Red ink on white paper,yes,shan_m.015,Box,GDrive,yes,shan_M009.meta,
[M10],,8 Mor Valu trading stamps. Ten mills,These stamps were mailed on same envelope as [L214],yes,"shan_m.026 to 
shan_m.027",Box,GDrive,yes,shan_M010.meta,
[M11],,,These stamps were mailed on same envelope as [L214],,"shan_m.028 to 
shan_m.029",,GDrive,yes,shan_M011.meta,
[M12],11/1/1966,Shirley Temple b&w photo Stamped w/autograph,This is in the same pdf and was sent with [L209],yes,"shan_m.024 to 
shan_m.025",Box,GDrive,yes,shan_M012.meta,
[M13],,American issued currency,10 American dollars,yes,"shan_m.030 to 
shan_m.031",Box,GDrive,yes,shan_M013.meta,
[M14],,American issued currency,10 American dollars,yes,"shan_m.032 to 
shan_m.033",Box,GDrive,yes,shan_M014.meta,
[M15],,American issued currency,20 American dollars,yes,"shan_m.034 to
shan_m.035",Box,GDrive,yes,shan_M015.meta,
[M16],,Notebook with addresses,,yes,"shan_m.036 to
shan_m.046",Box,,no,,
[M17],,Song lyrics,2 boleros,yes,shan_m.047 to shan_m.048,Box,,no,,
[M18],,Song lyrics,amor,yes,"shan_m.049 to
shan_m.050",Box,,no,,
[M19],,Schubert's Farm sale poster,Color poster,yes,"shan_m.051 to
shan_m.052",Box,,no,,
