Notes,Filename,Identifier,Title#1,Artist/Creator#1,Subject#1,Subject#1$1,Subject#1$3,Subject#1$2,Subject#1$5,Subject#1$4,Subject#1$7,Subject#1$6,Written Text,Card Text,Date#1,Format#1,Source#1,Language#1,Relation#1,Coverage#1,Coverage#2,Recipient
D1,shan_d.123,1,Will of Jesusita Flemate Barros Tores,,,,,,,,,,,,1957-05-04,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,,,
D1,shan_d.124,1,,,,,,,,,,,,,,,,,,,,
D2,shan_d.489,2,Official letter,Immigration and Naturalization Service,,,,,,,,,,,1952-07-22,Letter,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,"Denver, Colorado","Fort Lupton, Colorado",
D2,shan_d.490,2,,,,,,,,,,,,,,,,,,,,
D3,shan_d.185,3,Postcard,"Salas, Pablita ","Baros Torres, Jesusita",,,,,,,,"From Pablita Solas 489 Vine st Coachella California

Jesusita BT mi muy querida 
comadre unas cuantas Lineas 
para aserle Saber que a qui Estoy 
En calif com mi hijo llegue 
con vien y Ellos Estan Buenos 
yo me siento mejor por lo que 
Doy Gracias a Dios yo llegue
a qui El Domingo a las 6:15 
de la mañana pero les escribo 
para aserle Saber de mi siempre
yo no las olbido pidan a la virgin 
que me vaya vien para volber y sin 
mas Dios los bendiga su comadre 
como siempre Pablita

Mrs Jesusita B Torres 
Pacific st Box
Fort Lupton Colo
","Navajo Rug Weaver-Navajo rugs are worked on 
in the Navajo Hogans in winter and outside under a 
tree in the summer. Wool is sheared from the sheep, 
sorted and washed, carded to make fibers line in one 
direction and worked into a cord which is then dyed
to color and then used for weaving. These rugs are 
made completely of wool and are famed for their 
beauty and durability. –L524",1962-09-26,Postcard,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,"Coachella, California","Fort Lupton, Colorado",
D3,shan_d.186,3,,,,,,,,,,,,,,,,,,,,
D4,shan_d.001,4,The Jeffersonian Tablet,Jesusita Baros,,,,,,,,,,Personal notes for citizenship test.,1953-10-01,Notebook,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,,,
D4,shan_d.002,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.003,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.004,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.005,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.006,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.007,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.008,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.009,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.010,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.011,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.012,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.013,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.014,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.015,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.016,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.017,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.018,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.019,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.020,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.021,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.022,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.023,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.024,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.025,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.026,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.027,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.028,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.029,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.030,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.031,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.032,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.033,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.034,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.035,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.036,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.037,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.038,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.039,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.040,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.041,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.042,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.043,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.044,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.045,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.046,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.047,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.048,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.049,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.050,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.051,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.052,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.053,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.054,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.055,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.056,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.057,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.058,4,,,,,,,,,,,,,,,,,,,,
D5,shan_d.059,5,Citizenship study guide,Jesusita Baros,,,,,,,,,,,1905-04-24,Booklet,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D5,shan_d.060,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.061,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.062,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.063,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.064,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.065,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.066,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.067,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.068,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.069,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.070,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.071,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.072,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.073,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.074,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.075,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.076,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.077,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.078,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.079,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.080,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.081,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.082,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.083,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.084,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.085,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.086,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.087,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.088,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.089,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.090,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.091,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.092,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.093,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.094,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.095,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.096,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.097,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.098,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.099,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.100,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.101,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.102,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.103,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.104,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.105,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.106,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.107,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.108,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.109,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.110,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.111,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.112,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.113,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.114,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.115,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.116,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.117,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.118,5,,,,,,,,,,,,,,,,,,,,
D6,shan_d.121,6,Draft for citizenship document,Jesusita Flemate Baros,,,,,,,,,,Handwritten ,Unknown,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D6,shan_d.122,6,,,,,,,,,,,,,,,,,,,,
D7,shan_d.125,7,Timeline for citizenship application,Jesusita Baros,,,,,,,,,,Typewritten ,1952 (circa),Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D7,shan_d.126,7,,,,,,,,,,,,,,,,,,,,
D8,shan_d.127,8,Memorial card,,,,,,,,,,,"In Memoriam Born July 15, 1900 Died: Feb 10, 1976. On the front image of Jesus with crown of thorns.                              
",1976 (circa),Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D8,shan_d.128,8,,,"Baros Torres, Jesusita ",,,,,,,,,"IN MEMORIAM 
JESUSITA F. TORRES 
Born: July 15, 1900 
Died: Feb. 10, 1976 
O gentlest heart of Jesus, ever present in the Blessed Sacrament ever consumed with burning love for the poor captive souls, have mercy on the soul of Thy departed servant. Be not severe in Thy judgment but let some drops of Thy Precious Blood fall upon the devouring flames, and do Thou O Merciful Saviour, send Thy Angels to conduct Thy departed servant to a place of refreshment, light and peace. Amen. 
May he souls of all the faithful departed, through the Mercy of God, rest in peace. Amen. 
Merciful Jesus grant eternal 
rest. 
Rice Funeral Chapel 
Brighton, Colorado ",,,,,,,,
D9,shan_d.129,9,Memorial card,,,,,,,,,,,"
In Memory",1976-02-14,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",,,,,
